familyId,familyLabel,numDescendants,descendantId,descendantLabel
C0004364,Autoimmune disease,269,C0409980,Primary antiphospholipid syndrome
C0004364,Autoimmune disease,269,C1264006,Post-infectious cold agglutinin disease
C0004364,Autoimmune disease,269,C0242584,Autoimmune thrombocytopenia
C0004364,Autoimmune disease,269,C0271904,Chronic idiopathic autoimmune hemolytic anemia
C0004364,Autoimmune disease,269,C1283807,Subacute autoimmune thyroiditis
C0004364,Autoimmune disease,269,C0393930,Acetylcholine resynthesis deficiency
C0004364,Autoimmune disease,269,C0393931,Congenital myasthenia
C0004364,Autoimmune disease,269,C0393932,Congenital end-plate acetylcholine receptor deficiency
C0004364,Autoimmune disease,269,C0393933,Pseudomyopathic myasthenia
C0004364,Autoimmune disease,269,C0393935,Putative defect in acetylcholine synthesis or packaging
C0004364,Autoimmune disease,269,C0393936,Congenital end-plate acetylcholinesterase deficiency
C0004364,Autoimmune disease,269,C0393937,Decrease of motor end-plate potential amplitude without acetylcholine receptor deficiency
C0004364,Autoimmune disease,269,C0393938,Abnormality of synaptic vesicles
C0004364,Autoimmune disease,269,C0311370,Lupus anticoagulant disorder
C0004364,Autoimmune disease,269,C0024145,"Sarcoidosis, lupus pernio type"
C0004364,Autoimmune disease,269,C0158982,Neonatal myasthenia gravis
C0004364,Autoimmune disease,269,C0393639,Autoimmune encephalitis
C0004364,Autoimmune disease,269,C1306802,Self-limiting autoimmune thyroiditis with transient hyperthyroidism and/or hypothyroidism
C0004364,Autoimmune disease,269,C0409984,Secondary antiphospholipid syndrome with organ/system involvement
C0004364,Autoimmune disease,269,C0748540,Limited systemic sclerosis
C0004364,Autoimmune disease,269,C0451670,Congenital and developmental myasthenia
C0004364,Autoimmune disease,269,C0271737,Addison's disease due to autoimmunity
C0004364,Autoimmune disease,269,C1527226,CRST syndrome
C0004364,Autoimmune disease,269,C0268759,"SLE glomerulonephritis syndrome, WHO class VI"
C0004364,Autoimmune disease,269,C0268758,"SLE glomerulonephritis syndrome, WHO class V"
C0004364,Autoimmune disease,269,C0406795,Herpes gestationis - delivered with postnatal complication
C0004364,Autoimmune disease,269,C0406794,Herpes gestationis - delivered
C0004364,Autoimmune disease,269,C0272290,Drug-induced immune thrombocytopenia
C0004364,Autoimmune disease,269,C0268755,"SLE glomerulonephritis syndrome, WHO class II"
C0004364,Autoimmune disease,269,C0268754,"SLE glomerulonephritis syndrome, WHO class I"
C0004364,Autoimmune disease,269,C0268757,"SLE glomerulonephritis syndrome, WHO class IV"
C0004364,Autoimmune disease,269,C0268756,"SLE glomerulonephritis syndrome, WHO class III"
C0004364,Autoimmune disease,269,C0393929,Familial infantile myasthenia
C0004364,Autoimmune disease,269,C0393928,Genetically determined myasthenia
C0004364,Autoimmune disease,269,C0392436,Benign pemphigus
C0004364,Autoimmune disease,269,C0242380,Nonbacterial verrucal endocardiosis
C0004364,Autoimmune disease,269,C0342177,Lymphocytic thyroiditis - autoimmune
C0004364,Autoimmune disease,269,C0024140,Subacute cutaneous lupus erythematosus
C0004364,Autoimmune disease,269,C0342553,Juvenile Graves' disease
C0004364,Autoimmune disease,269,C0043117,Idiopathic thrombocytopenic purpura
C0004364,Autoimmune disease,269,C0018213,Toxic diffuse goiter with exophthalmos
C0004364,Autoimmune disease,269,C1274846,Discoid lupus erythematosus of hands
C0004364,Autoimmune disease,269,C0019343,Herpes gestationis
C0004364,Autoimmune disease,269,C0024138,Chronic discoid lupus erythematosus
C0004364,Autoimmune disease,269,C0406648,Prebullous pemphigoid
C0004364,Autoimmune disease,269,C0263314,Brazilian pemphigus foliaceus
C0004364,Autoimmune disease,269,C0543694,Autoimmune leukopenia
C0004364,Autoimmune disease,269,C1276121,Oral involvement by mucous membrane pemphigoid
C0004364,Autoimmune disease,269,C1290138,Systemic sclerosis sine scleroderma
C0004364,Autoimmune disease,269,C0024137,Cutaneous lupus erythematosus
C0004364,Autoimmune disease,269,C0409992,Scleroderma with organ / system involvement
C0004364,Autoimmune disease,269,C0473567,Localized pemphigoid
C0004364,Autoimmune disease,269,C0343184,Secondary Sj̦gren's syndrome with multisystem involvement
C0004364,Autoimmune disease,269,C0343181,Primary Sj̦gren's syndrome with organ/system involvement
C0004364,Autoimmune disease,269,C0343182,Primary Sj̦gren's syndrome with multisystem involvement
C0004364,Autoimmune disease,269,C0343183,Secondary Sj̦gren's syndrome with organ/system involvement
C0004364,Autoimmune disease,269,C0151449,Primary Sj̦gren's syndrome
C0004364,Autoimmune disease,269,C1274832,Acute systemic lupus erythematosus
C0004364,Autoimmune disease,269,C1274300,Systemic lupus erythematosus-associated antiphospholipid syndrome
C0004364,Autoimmune disease,269,C0409976,Systemic lupus erythematosus with organ/system involvement
C0004364,Autoimmune disease,269,C0034152,Henoch-Sch̦nlein purpura
C0004364,Autoimmune disease,269,C1274833,Fulminating systemic lupus erythematosus
C0004364,Autoimmune disease,269,C0393968,Systemic lupus erythematosus encephalitis
C0004364,Autoimmune disease,269,C0342160,Hypothyroidism due to TSH receptor blocking antibody
C0004364,Autoimmune disease,269,C3266026,Autoimmune polyendocrine syndrome type 4
C0004364,Autoimmune disease,269,C3266027,Autoimmune polyendocrine syndrome type 3
C0004364,Autoimmune disease,269,C2931429,Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection
C0004364,Autoimmune disease,269,C0406652,Adult linear immunoglobulin A disease
C0004364,Autoimmune disease,269,C0406653,Eosinophilic spongiosis
C0004364,Autoimmune disease,269,C0406650,Linear IgA dermatosis
C0004364,Autoimmune disease,269,C0406651,Chronic bullous dermatosis of childhood
C0004364,Autoimmune disease,269,C0272275,Heparin-induced thrombocytopenia with thrombosis
C0004364,Autoimmune disease,269,C0155180,Discoid lupus erythematosus of eyelid
C0004364,Autoimmune disease,269,C0409978,Systemic lupus erythematosus with multisystem involvement
C0004364,Autoimmune disease,269,C0004364,Autoimmune disease
C0004364,Autoimmune disease,269,C0151450,Secondary Sj̦gren's syndrome
C0004364,Autoimmune disease,269,C0678185,Pemphigus neonatorum
C0004364,Autoimmune disease,269,C0409977,Bullous systemic lupus erythematosus
C0004364,Autoimmune disease,269,C0409974,Lupus erythematosus
C0004364,Autoimmune disease,269,C0409975,Limited lupus erythematosus
C0004364,Autoimmune disease,269,C0263594,Drug-induced lupus erythematosus due to diphenylhydantoin
C0004364,Autoimmune disease,269,C0409979,Neonatal lupus erythematosus
C0004364,Autoimmune disease,269,C0263592,Drug-induced lupus erythematosus due to procainamide
C0004364,Autoimmune disease,269,C0263593,Drug-induced lupus erythematosus due to hydralazine
C0004364,Autoimmune disease,269,C0263591,Drug-induced systemic lupus erythematosus
C0004364,Autoimmune disease,269,C0339908,Lung disease with systemic lupus erythematosus
C0004364,Autoimmune disease,269,C0022972,Eaton-Lambert syndrome
C0004364,Autoimmune disease,269,C2609059,Antisynthetase syndrome
C0004364,Autoimmune disease,269,C0406638,Lupus erythematosus unguium mutilans
C0004364,Autoimmune disease,269,C0451938,Drug-induced pemphigus
C0004364,Autoimmune disease,269,C0085106,Familial benign pemphigus
C0004364,Autoimmune disease,269,C1264009,Chronic cold agglutinin disease associated with B-cell neoplasm
C0004364,Autoimmune disease,269,C0406649,Pemphigoid vegetans
C0004364,Autoimmune disease,269,C0587239,Systemic lupus erythematosus with pericarditis
C0004364,Autoimmune disease,269,C0175816,Cold autoimmune hemolytic anemia
